# Assembly	Strain	WGS	Bioproject	BioSample	name	numero
GCA_024391695.1	SM_1380	JAJKTG000000000	PRJNA780590	SAMN23168747	HOEC1380	1
GCA_024391545.1	SM_1448	JAJKSU000000000	PRJNA780590	SAMN23168761	HEAEC1448	2
GCA_024391425.1	SM_1449	JAJKST000000000	PRJNA780590	SAMN23168762	HRTEC1449	3
GCA_024391275.1	SM_1785	JAJKSJ000000000	PRJNA780590	SAMN23168772	HEAEC1785	4
GCA_024389505.1	SM_1970	JAJKSB000000000	PRJNA780590	SAMN23168780	HAEC1970	5
GCA_024389285.1	SM_2211	JAJKRS000000000	PRJNA780590	SAMN23168791	HGEC2211	6
GCA_024389065.1	SM_2340	JAJKTI000000000	PRJNA780590	SAMN23168802	HAEC2340	7
GCA_024388845.1	SM_2450	JAJKRC000000000	PRJNA780590	SAMN23168811	HBLEC2450	8
GCA_024388635.1	SM_2466	JAJKQQ000000000	PRJNA780590	SAMN23168823	HPFEC2466	9
GCA_024388395.1	SM_2677	JAJKQH000000000	PRJNA780590	SAMN23168833	HSEC2677	10
GCA_024388145.1	SM_2825	JAJKPT000000000	PRJNA780590	SAMN23168848	HPFEC2825	11
GCA_024387885.1	SM_3033	JAJKPJ000000000	PRJNA780590	SAMN23168860	HSEC3033	12
GCA_024387625.1	SM_3085	JAJKOX000000000	PRJNA780590	SAMN23168873	HOEC3085	13
GCA_024387345.1	SM_3174	JAJKOK000000000	PRJNA780590	SAMN23168888	HPFEC3174	14
GCA_024387055.1	INF_0999	JAJKNT000000000	PRJNA780590	SAMN23168906	HOEC0999	15
GCA_024386785.1	INF_1012	JAJKNI000000000	PRJNA780590	SAMN23168917	HOEC1012	16
GCA_024386485.1	INF_1180	JAJKMX000000000	PRJNA780590	SAMN23168931	HSEC1180	17
GCA_024386215.1	INF_1651	JAJKMK000000000	PRJNA780590	SAMN23168946	HWEC1651	18
GCA_024385985.1	INF_1848	JAJKLZ000000000	PRJNA780590	SAMN23168957	HWEC1848	19
GCA_024385725.1	INF_2304	JAJKLQ000000000	PRJNA780590	SAMN23168971	HPFEC2304	20
GCA_000005845.2	K-12	U00096.3	PRJNA225	SAMN02604091	CTK12	21
