Genoma	Fuente_aislamiento	Pais	numero
HOEC1380	Orina	Lebanon	1
HEAEC1448	Aspirado_endotraqueal	Egipto	2
HRTEC1449	Tracto_respiratorio	Estados_Unidos	3
HEAEC1785	Aspirado_endotraqueal	Georgia	4
HAEC1970	Abceso	Turquia	5
HGEC2211	Gastrointestinal	Egipto	6
HAEC2340	Abceso	España	7
HBLEC2450	Lavado_broncoalveolar	Jordania	8
HPFEC2466	Fluido_peritoneal	Jordania	9
HSEC2677	Esputo	Lebanon	10
HPFEC2825	Fluido_peritoneal	Egipto	11
HSEC3033	Esputo	Puerto_Rico	12
HOEC3085	Orina	Vietnam	13
HPFEC3174	Fluido_peritoneal	Tunez	14
HOEC0999	Orina	Turquia	15
HOEC1012	Orina	Turquia	16
HSEC1180	Esputo	Colombia	17
HWEC1651	Herida	Taiwan	18
HWEC1848	Herida	Tailandia	19
HPFEC2304	Fluido_peritoneal	Sudafrica	20
CTK12	Humano	Peru	21
